Size,Availability,Furnishing,Price,Flat Size,Location,Balcony
1000 sqft,Ready to Move,unfurnished,1.46 Cr,2 BHK,Hadapsar,2
901 sqft,Ready to Move,furnished,90 Lac,2 BHK,Pimple Saudagar,2
1306 sqft,Poss. by Dec '28,unfurnished,1.74 Cr,3 BHK,Balewadi,3
890 sqft,Poss. by Dec '27,unfurnished,1.20 Cr,2 BHK,Balewadi,2
1350 sqft,Ready to Move,unfurnished,1.50 Cr,3 BHK,Baner,2
1190 sqft,Ready to Move,furnished,1.24 Cr,2 BHK,Baner,2
669 sqft,Ready to Move,semi-furnished,32 Lac,1 BHK,Hadapsar,1
1420 sqft,Ready to Move,semi-furnished,2.30 Cr,3 BHK,Hadapsar,2
936 sqft,Ready to Move,furnished,100 Lac,3 BHK,Hadapsar,2
1090 sqft,Ready to Move,semi-furnished,1.65 Cr,2 BHK,Kharadi,2
1200 sqft,Ready to Move,semi-furnished,1.66 Cr,2 BHK,Viman Nagar,2
1090 sqft,Ready to Move,semi-furnished,1.25 Cr,3 BHK,Kharadi,3
780 sqft,Ready to Move,unfurnished,80 Lac,2 BHK,Wakad,2
812 sqft,Ready to Move,unfurnished,84.9 Lac,2 BHK,Ravet,2
1700 sqft,Ready to Move,furnished,3.65 Cr,3 BHK,Baner,2
900 sqft,Ready to Move,furnished,1.15 Cr,2 BHK,Wakad,2
818 sqft,Ready to Move,unfurnished,97 Lac,2 BHK,Baner,2
535 sqft,Ready to Move,unfurnished,83 Lac,1 BHK,Viman Nagar,2
860 sqft,Ready to Move,semi-furnished,90 Lac,2 BHK,Baner,2
900 sqft,Ready to Move,furnished,1.40 Cr,2 BHK,Kothrud,2
1055 sqft,Ready to Move,semi-furnished,1.62 Cr,3 BHK,Wakad,3
750 sqft,Ready to Move,unfurnished,85 Lac,1 BHK,Viman Nagar,2
400 sqft,Ready to Move,unfurnished,72 Lac,1 BHK,Hadapsar,2
1150 sqft,Ready to Move,semi-furnished,1.70 Cr,3 BHK,Hinjewadi,2
990 sqft,Ready to Move,semi-furnished,1.15 Cr,2 BHK,Kharadi,2
679 sqft,Ready to Move,unfurnished,88 Lac,2 BHK,Kharadi,2
1090 sqft,Ready to Move,semi-furnished,1.65 Cr,2 BHK,Kharadi,2
1200 sqft,Ready to Move,semi-furnished,1.66 Cr,2 BHK,Viman Nagar,2
780 sqft,Ready to Move,unfurnished,80 Lac,2 BHK,Wakad,2
812 sqft,Ready to Move,unfurnished,84.9 Lac,2 BHK,Ravet,2
1700 sqft,Ready to Move,furnished,3.65 Cr,3 BHK,Baner,2
900 sqft,Ready to Move,furnished,1.15 Cr,2 BHK,Wakad,2
860 sqft,Ready to Move,semi-furnished,90 Lac,2 BHK,Baner,2
900 sqft,Ready to Move,furnished,1.40 Cr,2 BHK,Kothrud,3
820 sqft,Ready to Move,unfurnished,1.15 Cr,2 BHK,Kharadi,2
785 sqft,Ready to Move,semi-furnished,1.37 Cr,2 BHK,Baner,3
937 sqft,Ready to Move,semi-furnished,98 Lac,3 BHK,Tathawade,2
729 sqft,Ready to Move,furnished,69.5 Lac,2 BHK,Chinchwad,1
660 sqft,Ready to Move,furnished,75 Lac,2 BHK,Kondhwa,1
781 sqft,Ready to Move,unfurnished,75 Lac,2 BHK,Chinchwad,2
430 sqft,Ready to Move,semi-furnished,28 Lac,1 BHK,Lohegaon,1
767 sqft,Ready to Move,semi-furnished,85 Lac,2 BHK,Ravet,2
740 sqft,Ready to Move,semi-furnished,85 Lac,2 BHK,Wakad,2
1050 sqft,Ready to Move,furnished,1.85 Cr,2 BHK,Baner,3
436 sqft,Ready to Move,furnished,57 Lac,1 BHK,Wakad,2
516 sqft,Ready to Move,unfurnished,32 Lac,1 BHK,Chinchwad,1
701 sqft,Ready to Move,unfurnished,1.20 Cr,2 BHK,Kharadi,2
720 sqft,Ready to Move,semi-furnished,80 Lac,2 BHK,Ravet,2
900 sqft,Ready to Move,furnished,1.02 Cr,2 BHK,Kondhwa,2
600 sqft,Ready to Move,semi-furnished,44 Lac,1 BHK,Chinchwad,1
886 sqft,Ready to Move,furnished,1.25 Cr,2 BHK,Chinchwad,2
1114 sqft,Ready to Move,unfurnished,1.65 Cr,3 BHK,Pimple Nilak,3
788 sqft,Ready to Move,semi-furnished,90 Lac,2 BHK,Hinjewadi,2
620 sqft,Ready to Move,unfurnished,95 Lac,2 BHK,Hadapsar,2
789 sqft,Ready to Move,unfurnished,99 Lac,2 BHK,Balewadi,2
1900 sqft,Ready to Move,furnished,3 Cr,3 BHK,Wakad,3
716 sqft,Ready to Move,unfurnished,82 Lac,2 BHK,Chinchwad,2
896 sqft,Ready to Move,furnished,1.10 Cr,2 BHK,Pimple Gurav,2
630 sqft,Ready to Move,unfurnished,55 Lac,2 BHK,Kondhwa,2
507 sqft,Ready to Move,semi-furnished,59 Lac,1 BHK,Wakad,1
789 sqft,Ready to Move,unfurnished,99 Lac,2 BHK,Balewadi,2
896 sqft,Ready to Move,furnished,1.10 Cr,2 BHK,Pimple Gurav,2
630 sqft,Ready to Move,unfurnished,55 Lac,2 BHK,Kondhwa,1
507 sqft,Ready to Move,semi-furnished,59 Lac,1 BHK,Wakad,2
335 sqft,Ready to Move,semi-furnished,42 Lac,2 BHK,Lohegaon,1
470 sqft,Ready to Move,semi-furnished,45 Lac,1 BHK,Chinchwad,1
836 sqft,Ready to Move,unfurnished,65 Lac,2 BHK,Chinchwad,2
434 sqft,Ready to Move,semi-furnished,65 Lac,1 BHK,Baner,2
1230 sqft,Ready to Move,furnished,2.20 Cr,3 BHK,Pimple Saudagar,2
832 sqft,Ready to Move,unfurnished,1.40 Cr,2 BHK,Balewadi,2
1030 sqft,Ready to Move,unfurnished,1.30 Cr,3 BHK,Wakad,2
1200 sqft,Ready to Move,unfurnished,1.80 Cr,3 BHK,Balewadi,3
800 sqft,Ready to Move,furnished,92 Lac,2 BHK,Pimple Saudagar,2
